loss	alae	limit	
10000	23461	500000	
10000	25133	250000	
10199	1578	100000	
11000	809	100000	
11000	3970	25000	
11000	4372	100000	
11000	4707	100000	
11000	23362	300000	
11280	14353	1000000	
11500	1076	1000000	
11667	6845	1000000	
11723	1316	300000	
12000	202	-99	
12000	1200	100000	
12000	1580	100000	
12000	2347	-99	
12000	4523	1000000	
12000	9014	100000	
12100	16320	500000	
12500	165	-99	
12500	325	-99	
12500	935	100000	
12500	2530	500000	
12500	4608	300000	
12500	6160	500000	
12500	6309	300000	
12500	8375	500000	
12500	11897	500000	
12500	14266	500000	
12500	14674	300000	
12566	3270	1000000	
12821	47257	1000000	
12875	6721	500000	
13000	26993	500000	
13450	2368	1000000	
13500	111	100000	
13500	700	500000	
13825	3208	1000000	
14000	3947	300000	
14000	10969	1000000	
14750	28217	-99	
14983	4977	500000	
15000	168	1000000	
15000	2561	-99	
15000	3003	500000	
15000	3429	1000000	
15000	4012	-99	
15000	4541	1000000	
15000	5000	300000	
15000	5110	1000000	
15000	6134	500000	
15000	7231	300000	
15000	7415	300000	
15000	13499	100000	
15000	14727	500000	
15000	20615	1000000	
15000	26482	500000	
15078	16698	500000	
15086	489	500000	
15285	7635	100000	
15833	2422	1000000	
16000	4906	500000	
16500	2791	100000	
16500	5144	500000	
16500	15819	1000000	
16666	12105	500000	
17500	2520	300000	
17500	3000	500000	
17500	5936	1000000	
17500	7525	-99	
17500	16137	500000	
17500	21740	250000	
18000	708	-99	
18000	3419	500000	
18136	11034	1000000	
18175	312	300000	
18333	9440	500000	
18358	8724	100000	
18444	20203	500000	
18500	504	500000	
18500	12138	50000	
18544	2441	500000	
18706	10557	100000	
18750	10747	500000	
18750	18458	100000	
19000	4602	300000	
19000	4870	-99	
19500	7088	1000000	
19500	12569	1000000	
19500	13674	300000	
19500	16744	75000	
19833	212	-99	
20000	2336	1000000	
20000	2863	1000000	
20000	3895	500000	
20000	4137	1000000	
20000	4542	2500000	
20000	5108	-99	
20000	5647	500000	
20000	8103	1000000	
20000	12304	300000	
20000	13218	300000	
20000	14078	500000	
20000	14417	500000	
20000	14999	500000	
20000	16223	500000	
20000	16312	500000	
20000	17905	-99	
20000	23484	1000000	
20000	32093	500000	
20000	36572	1000000	
20802	12980	100000	
21000	2642	500000	
21110	2344	300000	
21136	11244	500000	
21678	15	-99	
21951	9348	100000	
22000	3884	50000	
22000	43454	500000	
22105	2485	1000000	
22500	5250	1000000	
22940	24987	100000	
23000	5036	500000	
23000	20237	-99	
23759	2586	1000000	
24000	1080	1000000	
24014	4177	500000	
24334	17688	1000000	
24357	19934	250000	
24464	1954	300000	
25000	583	1000000	
25000	2012	500000	
25000	7920	1000000	
25000	10726	500000	
25000	15116	1000000	
25000	16118	-99	
25000	18118	75000	
25000	18155	500000	
25000	22020	500000	
25000	55472	300000	
25045	47560	100000	
25250	4389	300000	
25396	45945	500000	
25507	6782	500000	
25700	3332	500000	
25800	2931	500000	
25883	12181	50000	
26000	1908	500000	
26000	6111	1500000	
26075	2316	300000	
27000	29273	300000	
27500	2381	500000	
27500	19887	1000000	
28000	3111	500000	
28650	8034	300000	
29890	2710	500000	
30000	657	1000000	
30000	3803	500000	
30000	3829	500000	
30000	7023	-99	
30000	7439	500000	
30000	7960	500000	
30000	8312	100000	
30000	11353	500000	
30000	20221	500000	
30000	24706	500000	
30000	39831	1000000	
30811	19332	500000	
31250	3851	100000	
31882	7237	500000	
32000	8930	500000	
32500	798	500000	
32500	19667	500000	
33868	6715	500000	
34625	23407	100000	
35000	1330	1000000	
35000	1577	1000000	
35000	3577	100000	
35000	4500	300000	
35000	5553	1000000	
35000	17118	1000000	
35000	19397	300000	
35000	20399	-99	
37936	15550	300000	
38200	70922	500000	
38696	78345	500000	
38843	7883	500000	
40000	3502	300000	
40000	10177	1000000	
40000	10747	500000	
40000	21083	500000	
40000	31532	100000	
40000	66524	500000	
40461	1469	-99	
41807	17560	1000000	
41845	14127	300000	
42000	7872	500000	
42500	88534	500000	
43000	29307	500000	
45000	1182	1000000	
45000	1820	500000	
45000	9134	-99	
45000	9250	500000	
45000	10411	1000000	
45000	37529	1000000	
45666	5103	500000	
45955	3069	300000	
47500	2238	300000	
47500	5013	500000	
47500	12856	1000000	
47500	42966	500000	
48349	50611	500000	
50000	500	500000	
50000	1636	100000	
50000	2165	1000000	
50000	2809	500000	
50000	5441	500000	
50000	16303	1000000	
50000	17768	100000	
50000	25922	500000	
50147	21547	500000	
50899	18172	100000	
52500	11333	500000	
54250	8312	100000	
55000	24889	500000	
55000	29327	500000	
55651	23391	1000000	
56062	210	300000	
57000	14709	500000	
57500	10983	500000	
58064	11863	500000	
60000	4762	1000000	
60000	6118	500000	
60000	9812	-99	
60000	42230	500000	
60087	2580	1000000	
62500	12750	1000000	
63000	4881	300000	
65000	5534	1000000	
65544	27671	500000	
67500	25767	500000	
70000	1900	500000	
70000	4555	300000	
73000	13391	500000	
75000	574	-99	
75000	6125	3000000	
75000	17236	500000	
75000	17687	250000	
75000	19213	-99	
75000	30401	500000	
75000	46494	500000	
75000	72060	500000	
76991	25949	500000	
80000	4863	500000	
80000	5985	1000000	
83500	8072	500000	
86311	37711	500000	
86667	5792	1000000	
87500	16677	300000	
88803	5203	1000000	
90000	3367	1000000	
90000	6959	300000	
90451	18232	300000	
95000	12398	500000	
99632	6431	5000000	
99991	22092	300000	
100000	1416	500000	
100000	15268	300000	
100000	30149	1000000	
101276	4210	500000	
101422	9513	1000000	
104518	4825	300000	
108000	9516	500000	
110000	2004	300000	
110659	48062	1000000	
124999	2257	300000	
125000	10093	300000	
135000	42863	300000	
137500	99412	500000	
138133	22464	300000	
140837	10292	1000000	
149750	32370	500000	
150000	6945	300000	
151084	35252	1000000	
151152	155640	500000	
157499	64690	500000	
160300	17881	500000	
161187	17601	500000	
167000	53829	1000000	
168751	6114	500000	
183095	5717	500000	
184925	48811	300000	
192500	46777	500000	
200000	7846	500000	
200000	23137	1000000	
200000	61709	500000	
200000	67782	1000000	
215303	41532	500000	
225562	45613	1000000	
235000	38157	1000000	
260000	11875	500000	
289146	21359	1000000	
289428	23086	500000	
300000	55010	500000	
337500	15358	1000000	
365600	131678	500000	
370005	56123	500000	
373915	10261	1000000	
412998	45095	500000	
432500	7294	500000	
465000	27272	500000	
474400	160265	1000000	
496559	31738	500000	
838701	3662	1000000	
2173595	134743	2500000	
